ID,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado
8015,37,2022-11-10,20:00,Atletico-MG,Cuiaba,4-2-3-1,4-2-3-1,A. Stival,A. Cardoso de Oliveira,Atletico-MG, Mineirão,3,0,MG,MT
8014,37,2022-11-10,20:02,Botafogo-RJ,Santos,4-2-3-1,4-2-3-1,L. Castro,O. Ribeiro,Botafogo-RJ,Estádio Nilton Santos,3,0,RJ,SP
8016,38,2022-11-12,16:01,Flamengo,Avai,4-3-3,4-5-1,D. Silvestre Júnior,F. Bento da Cunha,Avai, Maracanã,1,2,RJ,SC
8017,38,2022-11-13,16:03,Athletico-PR,Botafogo-RJ,4-1-4-1,4-2-3-1,L. Scolari,L. Castro,Athletico-PR,Estádio Joaquim Américo Guimarães,3,0,PR,RJ
8018,38,2022-11-13,16:03,Ceara,Juventude,4-2-3-1,4-1-2-1-2,J. Antonello,C. Juarez Roth,Ceara,Arena Castelão,4,1,CE,RS
8019,38,2022-11-13,16:03,America-MG,Atletico-GO,4-3-3,4-2-3-1,V. Carmo Mancini,E. do Nascimento Souza,-,Estádio Raimundo Sampaio,1,1,MG,GO
8020,38,2022-11-13,16:03,Santos,Fortaleza,4-2-3-1,4-4-2,O. Ribeiro,J. Vojvoda,Fortaleza,Estádio Urbano Caldeira,0,2,SP,CE
8021,38,2022-11-13,16:03,Cuiaba,Coritiba,4-1-4-1,4-1-4-1,A. Cardoso de Oliveira,A. Ferreira,Cuiaba,Arena Pantanal,2,1,MT,PR
8022,38,2022-11-13,16:03,Bragantino,Fluminense,4-2-3-1,4-2-3-1,M. Nogueira Barbieri,F. Diniz Silva,Fluminense,Nabizão,0,1,SP,RJ
8023,38,2022-11-13,16:03,Corinthians,Atletico-MG,4-1-4-1,4-2-3-1,F. J. Monteiro Almeida,A. Stival,Atletico-MG,Neo Química Arena,0,1,SP,MG
8024,38,2022-11-13,16:03,Internacional,Palmeiras,4-2-3-1,4-2-3-1,L. Venker de Menezes,A. Moreira Ferreira,Internacional,Estádio José Pinheiro Borda,3,0,RS,SP
8025,38,2022-11-13,16:03,Goias,Sao Paulo,4-2-3-1,4-1-2-1-2,J. Ribeiro Ventura,R. Ceni,Sao Paulo,Estádio da Serrinha,0,4,GO,SP
8026,1,2023-04-15,16:01,Palmeiras,Cuiaba,4-2-3-1,4-2-3-1,A. Moreira Ferreira,I. Abreu Vieira,Palmeiras,Allianz Parque,2,1,SP,MT
8027,1,2023-04-15,16:02,America-MG,Fluminense,4-2-3-1,4-2-2-2,V. Carmo Mancini,F. Diniz Silva,Fluminense,Estádio Raimundo Sampaio,0,3,MG,RJ
8029,1,2023-04-15,18:31,Bragantino,Bahia,4-2-3-1,3-4-3,P. Faria Caixinha,R. Alves Paiva,Bragantino,Nabizão,2,1,SP,BA
8030,1,2023-04-15,18:31,Athletico-PR,Goias,4-2-3-1,4-2-3-1,P. Turra,E. Rodrigues de Ávila,Athletico-PR,Ligga Arena,2,0,PR,GO
8031,1,2023-04-15,18:32,Fortaleza,Internacional,4-2-2-2,4-2-3-1,J. Vojvoda,L. Venker de Menezes,-,Arena Castelão,1,1,CE,RS
8028,1,2023-04-15,18:33,Botafogo-RJ,Sao Paulo,4-2-3-1,4-1-4-1,L. Ribeiro de Castro,R. Ceni,Botafogo-RJ,Estádio Nilton Santos,2,1,RJ,SP
8032,1,2023-04-15,21:00,Atletico-MG,Vasco,4-3-3,4-3-3,E. Coudet,M. Nogueira Barbieri,Vasco, Mineirão,1,2,MG,RJ
8034,1,2023-04-16,16:00,Flamengo,Coritiba,4-2-3-1,4-3-3,J. Sampaoli Moya,A. Cardoso de Oliveira,Flamengo, Maracanã,3,0,RJ,PR
8033,1,2023-04-16,16:03,Corinthians,Cruzeiro,4-2-3-1,4-2-3-1,F. Lázaro Rodrigues Alves,P. Marques da Costa Filipe,Corinthians,Neo Química Arena,2,1,SP,MG
8035,1,2023-04-16,18:30,Gremio,Santos,4-2-3-1,4-3-3,Renato Gaúcho,O. Hellmann,Gremio, Alfredo Jaconi,1,0,RS,SP
8036,2,2023-04-22,16:00,Fluminense,Athletico-PR,4-2-3-1,4-2-3-1,F. Diniz Silva,P. Turra,Fluminense, Maracanã,2,0,RJ,PR
8038,2,2023-04-22,18:30,Cuiaba,Bragantino,4-2-3-1,4-3-3,I. Abreu Vieira,P. Faria Caixinha,-,Arena Pantanal,1,1,MT,SP
8037,2,2023-04-22,18:31,Sao Paulo,America-MG,4-1-3-2,4-2-3-1,D. Silvestre Júnior,V. Carmo Mancini,Sao Paulo, Morumbi,3,0,SP,MG
8039,2,2023-04-22,20:59,Cruzeiro,Gremio,4-2-3-1,4-2-3-1,P. Marques da Costa Filipe,Renato Gaúcho,Cruzeiro,Estádio Raimundo Sampaio,1,0,MG,RS
8040,2,2023-04-23,11:01,Internacional,Flamengo,4-2-3-1,4-1-2-1-2,L. Venker de Menezes,J. Sampaoli Moya,Internacional,Estádio Beira-Rio,2,1,RS,RJ
8041,2,2023-04-23,16:00,Santos,Atletico-MG,4-4-2,4-4-2,O. Hellmann,E. Coudet,-,Estádio Urbano Caldeira,0,0,SP,MG
8042,2,2023-04-23,16:00,Vasco,Palmeiras,4-3-3,4-2-3-1,C. Maldonado,V. Castanheira Penas,-, Maracanã,2,2,RJ,SP
8043,2,2023-04-23,18:31,Coritiba,Fortaleza,3-1-4-2,4-4-2,L. De Souza,J. Vojvoda,Fortaleza, Couto Pereira,0,3,PR,CE
8044,2,2023-04-23,19:00,Goias,Corinthians,4-2-3-1,4-2-3-1,E. Rodrigues de Ávila,A. Stival,Goias,Estádio Hailé Pinheiro - Serrinha,3,1,GO,SP
8045,2,2023-04-24,20:00,Bahia,Botafogo-RJ,5-4-1,4-2-3-1,R. Alves Paiva,L. Ribeiro de Castro,Botafogo-RJ,Itaipava Arena Fonte Nova,1,2,BA,RJ
8047,3,2023-04-29,16:30,Coritiba,Sao Paulo,3-4-3,4-2-3-1,A. Zago,D. Silvestre Júnior,-, Couto Pereira,1,1,PR,SP
8046,3,2023-04-29,16:31,Fortaleza,Fluminense,4-4-2,4-2-3-1,J. Vojvoda,F. Diniz Silva,Fortaleza,Arena Castelão,4,2,CE,RJ
8048,3,2023-04-29,18:30,Palmeiras,Corinthians,4-2-3-1,4-2-3-1,A. Moreira Ferreira,Danilo,Palmeiras,Allianz Parque,2,1,SP,SP
8049,3,2023-04-29,18:30,Santos,America-MG,4-3-3,4-1-4-1,O. Hellmann,V. Carmo Mancini,Santos,Estádio Urbano Caldeira,3,2,SP,MG
8050,3,2023-04-29,18:30,Bragantino,Cruzeiro,4-2-3-1,4-2-3-1,P. Faria Caixinha,P. Marques da Costa Filipe,Cruzeiro,Nabizão,0,3,SP,MG
8051,3,2023-04-29,21:00,Atletico-MG,Athletico-PR,4-4-2,4-1-4-1,E. Coudet,P. Turra,Atletico-MG,Estádio Raimundo Sampaio,2,1,MG,PR
8052,3,2023-04-30,16:00,Flamengo,Botafogo-RJ,3-4-2-1,4-2-3-1,J. Sampaoli Moya,L. Ribeiro de Castro,Botafogo-RJ, Maracanã,2,3,RJ,RJ
8053,3,2023-04-30,18:30,Cuiaba,Gremio,4-2-3-1,4-2-3-1,I. Abreu Vieira,Renato Gaúcho,Gremio,Arena Pantanal,1,2,MT,RS
8054,3,2023-04-30,18:32,Internacional,Goias,4-2-3-1,4-2-3-1,L. Venker de Menezes,E. Rodrigues de Ávila,Internacional,Estádio Beira-Rio,1,0,RS,GO
8055,3,2023-05-01,20:00,Vasco,Bahia,4-3-3,5-4-1,M. Nogueira Barbieri,R. Alves Paiva,Bahia,Estádio São Januário,0,1,RJ,BA
8056,4,2023-05-06,16:00,Cruzeiro,Santos,4-2-3-1,4-2-3-1,P. Marques da Costa Filipe,O. Hellmann,Cruzeiro,Estádio Raimundo Sampaio,2,1,MG,SP
8057,4,2023-05-06,21:01,Fluminense,Vasco,4-2-3-1,4-3-3,F. Diniz Silva,M. Nogueira Barbieri,-, Maracanã,1,1,RJ,RJ
8058,4,2023-05-07,11:01,America-MG,Cuiaba,4-1-4-1,4-2-3-1,V. Carmo Mancini,I. Abreu Vieira,Cuiaba,Estádio Raimundo Sampaio,1,2,MG,MT
8059,4,2023-05-07,16:00,Bahia,Coritiba,3-4-3,3-4-3,R. Alves Paiva,A. Zago,Bahia,Itaipava Arena Fonte Nova,3,1,BA,PR
8061,4,2023-05-07,16:00,Athletico-PR,Flamengo,4-4-2,4-4-2,P. Turra,J. Sampaoli Moya,Athletico-PR,Ligga Arena,2,1,PR,RJ
8060,4,2023-05-07,16:02,Sao Paulo,Internacional,4-2-3-1,4-2-3-1,D. Silvestre Júnior,L. Venker de Menezes,Sao Paulo, Morumbi,2,0,SP,RS
8062,4,2023-05-07,18:30,Gremio,Bragantino,4-2-3-1,4-3-3,Renato Gaúcho,P. Faria Caixinha,-,Arena do Grêmio,3,3,RS,SP
8063,4,2023-05-07,18:30,Botafogo-RJ,Atletico-MG,4-2-3-1,4-2-2-2,V. Severino,E. Coudet,Botafogo-RJ,Estádio Nilton Santos,2,0,RJ,MG
8064,4,2023-05-07,18:31,Goias,Palmeiras,4-2-3-1,3-4-2-1,E. Rodrigues de Ávila,A. Moreira Ferreira,Palmeiras,Estádio Hailé Pinheiro - Serrinha,0,5,GO,SP
8065,4,2023-05-08,20:00,Corinthians,Fortaleza,4-2-3-1,4-2-3-1,V. Luxemburgo da Silva,J. Vojvoda,-,Neo Química Arena,1,1,SP,CE
8067,5,2023-05-10,18:59,Santos,Bahia,4-2-3-1,3-4-2-1,O. Hellmann,R. Alves Paiva,Santos,Estádio Urbano Caldeira,3,0,SP,BA
8066,5,2023-05-10,19:00,Internacional,Athletico-PR,4-2-3-1,4-3-3,L. Venker de Menezes,P. Turra,Athletico-PR,Estádio Beira-Rio,0,2,RS,PR
8068,5,2023-05-10,19:00,Bragantino,America-MG,4-3-3,4-1-4-1,P. Faria Caixinha,V. Carmo Mancini,-,Nabizão,2,2,SP,MG
8069,5,2023-05-10,19:59,Cuiaba,Atletico-MG,4-2-3-1,4-2-2-2,L. Iubel,E. Coudet,Atletico-MG,Arena Pantanal,0,4,MT,MG
8070,5,2023-05-10,20:00,Flamengo,Goias,4-2-3-1,4-2-3-1,J. Sampaoli Moya,E. Rodrigues de Ávila,Flamengo, Maracanã,2,0,RJ,GO
8071,5,2023-05-10,21:29,Cruzeiro,Fluminense,4-2-3-1,4-2-3-1,P. Marques da Costa Filipe,F. Diniz Silva,Fluminense, Mineirão,0,2,MG,RJ
8072,5,2023-05-10,21:29,Palmeiras,Gremio,4-2-3-1,3-4-1-2,A. Moreira Ferreira,Renato Gaúcho,Palmeiras,Allianz Parque,4,1,SP,RS
8073,5,2023-05-11,19:00,Coritiba,Vasco,5-4-1,4-3-3,A. Zago,M. Nogueira Barbieri,-, Couto Pereira,1,1,PR,RJ
8074,5,2023-05-11,19:30,Botafogo-RJ,Corinthians,4-2-3-1,4-1-4-1,L. Ribeiro de Castro,V. Luxemburgo da Silva,Botafogo-RJ,Estádio Nilton Santos,3,0,RJ,SP
8075,5,2023-05-11,20:00,Fortaleza,Sao Paulo,4-4-2,4-3-3,J. Vojvoda,D. Silvestre Júnior,-,Arena Castelão,0,0,CE,SP
8076,6,2023-05-13,16:00,Bahia,Flamengo,3-4-1-2,4-1-4-1,R. Alves Paiva,J. Sampaoli Moya,Flamengo,Itaipava Arena Fonte Nova,2,3,BA,RJ
8077,6,2023-05-13,18:30,Fluminense,Cuiaba,4-2-3-1,4-2-3-1,F. Diniz Silva,L. Iubel,Fluminense, Maracanã,2,0,RJ,MT
8078,6,2023-05-13,18:30,Palmeiras,Bragantino,4-2-3-1,4-3-3,A. Moreira Ferreira,P. Faria Caixinha,-,Allianz Parque,1,1,SP,SP
8079,6,2023-05-13,21:00,Atletico-MG,Internacional,4-2-2-2,4-2-3-1,E. Coudet,L. Venker de Menezes,Atletico-MG, Mineirão,2,0,MG,RS
8080,6,2023-05-14,16:00,Gremio,Fortaleza,4-2-3-1,4-2-3-1,Renato Gaúcho,J. Vojvoda,-,Arena do Grêmio,0,0,RS,CE
8081,6,2023-05-14,16:00,Vasco,Santos,4-3-3,4-2-3-1,M. Nogueira Barbieri,O. Hellmann,Santos,Estádio São Januário,0,1,RJ,SP
8082,6,2023-05-14,16:02,Corinthians,Sao Paulo,4-1-4-1,4-2-3-1,V. Luxemburgo da Silva,D. Silvestre Júnior,-,Neo Química Arena,1,1,SP,SP
8083,6,2023-05-14,18:29,Athletico-PR,Coritiba,4-2-3-1,5-4-1,P. Turra,A. Zago,Athletico-PR,Ligga Arena,3,2,PR,PR
8085,6,2023-05-14,18:29,America-MG,Cruzeiro,4-3-3,4-3-3,V. Carmo Mancini,P. Marques da Costa Filipe,Cruzeiro,Estádio Raimundo Sampaio,0,4,MG,MG
8084,6,2023-05-14,18:30,Goias,Botafogo-RJ,4-3-3,4-2-3-1,E. Rodrigues de Ávila,L. Ribeiro de Castro,Goias,Estádio Hailé Pinheiro - Serrinha,2,1,GO,RJ
8086,7,2023-05-20,16:02,Bahia,Goias,3-4-3,4-4-2,R. Alves Paiva,E. Rodrigues de Ávila,-,Itaipava Arena Fonte Nova,1,1,BA,GO
8087,7,2023-05-20,18:30,Bragantino,Athletico-PR,4-2-3-1,4-2-3-1,P. Faria Caixinha,P. Turra,Bragantino,Nabizão,2,0,SP,PR
8088,7,2023-05-20,18:30,Sao Paulo,Vasco,4-2-3-1,4-3-3,D. Silvestre Júnior,M. Nogueira Barbieri,Sao Paulo, Morumbi,4,2,SP,RJ
8090,7,2023-05-20,18:30,America-MG,Fortaleza,4-2-3-1,4-2-3-1,V. Carmo Mancini,J. Vojvoda,America-MG,Estádio Raimundo Sampaio,2,1,MG,CE
8091,7,2023-05-20,18:30,Botafogo-RJ,Fluminense,4-2-3-1,4-2-3-1,L. Ribeiro de Castro,F. Diniz Silva,Botafogo-RJ,Estádio Nilton Santos,1,0,RJ,RJ
8089,7,2023-05-20,18:31,Coritiba,Atletico-MG,3-5-2,4-1-2-1-2,A. Zago,E. Coudet,Atletico-MG, Couto Pereira,1,2,PR,MG
8092,7,2023-05-20,21:00,Santos,Palmeiras,4-2-3-1,4-2-3-1,O. Hellmann,J. M. Barreto Martins,-,Estádio Urbano Caldeira,0,0,SP,SP
8093,7,2023-05-21,16:00,Flamengo,Corinthians,4-2-2-2,4-4-2,J. Sampaoli Moya,V. Luxemburgo da Silva,Flamengo, Maracanã,1,0,RJ,SP
8094,7,2023-05-21,18:31,Gremio,Internacional,3-4-3,4-2-3-1,Renato Gaúcho,L. Venker de Menezes,Gremio,Arena do Grêmio,3,1,RS,RS
8095,7,2023-05-22,20:00,Cruzeiro,Cuiaba,4-3-3,4-3-3,P. Marques da Costa Filipe,A. Cardoso de Oliveira,Cuiaba,Estádio Joaquim Henrique Nogueira-Arena do jacaré,0,1,MG,MT
8096,8,2023-05-27,16:00,Athletico-PR,Gremio,4-2-3-1,3-4-2-1,P. Turra,Renato Gaúcho,Gremio,Ligga Arena,1,2,PR,RS
8097,8,2023-05-27,16:02,Fortaleza,Vasco,4-4-2,4-3-3,J. Vojvoda,C. Maldonado,Fortaleza,Arena Castelão,2,0,CE,RJ
8098,8,2023-05-27,18:31,Flamengo,Cruzeiro,4-3-1-2,4-3-3,J. Sampaoli Moya,P. Marques da Costa Filipe,-, Maracanã,1,1,RJ,MG
8099,8,2023-05-27,18:32,Cuiaba,Coritiba,4-3-3,3-4-1-2,A. Cardoso de Oliveira,A. Zago,-,Arena Pantanal,1,1,MT,PR
8100,8,2023-05-27,21:02,Sao Paulo,Goias,4-2-3-1,4-4-2,D. Silvestre Júnior,E. Rodrigues de Ávila,Sao Paulo, Morumbi,2,1,SP,GO
8102,8,2023-05-28,16:02,Internacional,Bahia,4-2-3-1,3-4-3,L. Venker de Menezes,R. Alves Paiva,Internacional,Estádio Beira-Rio,2,0,RS,BA
8101,8,2023-05-28,16:04,Corinthians,Fluminense,4-4-2,4-2-3-1,V. Luxemburgo da Silva,E. de Barros,Corinthians,Neo Química Arena,2,0,SP,RJ
8104,8,2023-05-28,18:31,Bragantino,Santos,4-3-3,4-2-3-1,P. Faria Caixinha,O. Hellmann,Bragantino,Nabizão,2,0,SP,SP
8103,8,2023-05-28,18:32,Atletico-MG,Palmeiras,4-1-3-2,4-2-3-1,E. Coudet,A. Moreira Ferreira,-, Mineirão,1,1,MG,SP
8105,8,2023-05-28,19:01,Botafogo-RJ,America-MG,4-2-3-1,4-1-4-1,L. Ribeiro de Castro,V. Carmo Mancini,Botafogo-RJ,Estádio Nilton Santos,2,0,RJ,MG
8106,9,2023-06-03,16:00,Fortaleza,Bahia,4-2-3-1,3-5-2,J. Vojvoda,R. Alves Paiva,-,Arena Castelão,0,0,CE,BA
8107,9,2023-06-03,18:30,Athletico-PR,Botafogo-RJ,4-2-3-1,4-2-3-1,P. Turra,L. Ribeiro de Castro,Athletico-PR,Ligga Arena,1,0,PR,RJ
8108,9,2023-06-03,18:30,Cruzeiro,Atletico-MG,4-3-3,4-2-3-1,P. Marques da Costa Filipe,E. Coudet,Atletico-MG,Estádio Municipal Parque do Sabiá,0,1,MG,MG
8109,9,2023-06-03,18:33,America-MG,Corinthians,4-1-3-2,3-4-2-1,V. Carmo Mancini,V. Luxemburgo da Silva,America-MG,Estádio Raimundo Sampaio,2,0,MG,SP
8110,9,2023-06-03,21:01,Santos,Internacional,4-2-3-1,4-2-3-1,O. Hellmann,L. Venker de Menezes,-,Estádio Urbano Caldeira,1,1,SP,RS
8111,9,2023-06-04,16:00,Fluminense,Bragantino,4-2-3-1,4-3-3,F. Diniz Silva,P. Faria Caixinha,Fluminense, Maracanã,2,1,RJ,SP
8112,9,2023-06-04,16:01,Gremio,Sao Paulo,3-4-2-1,3-4-2-1,Renato Gaúcho,D. Silvestre Júnior,Gremio,Arena do Grêmio,2,1,RS,SP
8113,9,2023-06-04,18:29,Goias,Cuiaba,4-2-3-1,4-2-3-1,E. Rodrigues de Ávila,A. Cardoso de Oliveira,Cuiaba,Estádio Hailé Pinheiro - Serrinha,0,1,GO,MT
8114,9,2023-06-04,18:29,Palmeiras,Coritiba,4-2-3-1,3-4-1-2,A. Moreira Ferreira,A. Zago,Palmeiras,Allianz Parque,3,1,SP,PR
8115,9,2023-06-05,20:00,Vasco,Flamengo,3-4-3,4-2-2-2,M. Nogueira Barbieri,J. Sampaoli Moya,Flamengo, Maracanã,1,4,RJ,RJ
8116,10,2023-06-10,16:03,Coritiba,Santos,3-5-2,4-2-3-1,A. Zago,O. Hellmann,-, Couto Pereira,0,0,PR,SP
8119,10,2023-06-10,18:30,Atletico-MG,Bragantino,4-2-3-1,4-3-3,E. Coudet,P. Faria Caixinha,-, Mineirão,1,1,MG,SP
8117,10,2023-06-10,18:31,Bahia,Cruzeiro,3-4-2-1,4-3-3,R. Alves Paiva,P. Marques da Costa Filipe,-,Itaipava Arena Fonte Nova,2,2,BA,MG
8118,10,2023-06-10,18:32,Corinthians,Cuiaba,3-4-1-2,4-2-3-1,V. Luxemburgo da Silva,A. Cardoso de Oliveira,-,Neo Química Arena,1,1,SP,MT
