partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
8986,21,Bragantino,8,5,36,303,88,17,3,0,0,2
8986,21,Fluminense,12,4,64,540,93,8,4,0,1,11
8987,21,Internacional,5,4,55,378,89,18,5,1,3,1
8987,21,Cruzeiro,15,7,45,304,88,10,1,0,0,5
8988,21,Ceara,17,5,40,273,85,12,2,0,0,1
8988,21,Gremio,13,5,60,451,93,14,2,0,2,4
8989,21,Santos,8,3,45,375,90,17,1,0,1,0
8989,21,Bahia,10,4,55,474,90,12,2,0,1,3
8990,21,Corinthians,12,7,40,235,89,18,2,0,2,5
8990,21,Vasco,11,3,60,469,92,16,3,0,1,3
8991,21,Botafogo-RJ,13,6,57,437,93,17,2,0,0,3
8991,21,Juventude,17,7,43,406,90,9,0,0,1,5
8992,21,Fortaleza,12,6,48,352,91,15,4,0,2,11
8992,21,Mirassol,8,4,52,393,89,11,2,0,1,3
8993,21,Sao Paulo,10,5,51,441,91,20,1,0,0,5
8993,21,Atletico-MG,3,0,49,423,91,17,2,0,2,1
8994,21,Palmeiras,19,8,45,333,89,12,0,0,1,6
8994,21,Sport,6,1,55,356,89,10,2,0,1,3
8995,21,Vitoria,2,2,36,226,88,5,0,0,2,1
8995,21,Flamengo,18,9,64,654,94,16,0,0,0,8
8996,22,Ceara,12,6,55,441,89,17,0,0,2,4
8996,22,Juventude,8,2,45,313,88,26,6,0,0,5
8997,22,Botafogo-RJ,17,7,52,393,93,9,0,0,6,6
8997,22,Bragantino,7,3,48,360,89,14,2,0,1,8
8998,22,Sao Paulo,11,4,53,431,90,9,4,0,1,9
8998,22,Cruzeiro,11,7,47,250,85,10,2,0,1,6
9000,22,Gremio,6,1,33,274,87,11,2,0,1,0
9000,22,Flamengo,19,5,67,577,93,16,1,0,1,13
8999,22,Fluminense,7,1,51,421,87,17,4,0,0,1
8999,22,Santos,9,2,49,400,88,12,3,0,7,6
9001,22,Corinthians,9,1,42,286,87,16,2,0,1,3
9001,22,Palmeiras,15,5,58,377,91,16,3,0,3,10
9002,22,Mirassol,11,8,39,310,89,13,0,0,2,4
9002,22,Bahia,13,5,61,471,92,7,0,0,0,2
9003,22,Vitoria,15,4,40,202,88,17,2,0,3,2
9003,22,Atletico-MG,21,5,60,469,93,13,3,0,3,5
9004,22,Vasco,12,8,45,355,90,7,1,0,0,5
9004,22,Sport,15,3,55,399,92,11,2,0,3,10
9005,22,Fortaleza,10,3,47,420,90,12,1,0,3,5
9005,22,Internacional,10,5,53,423,90,16,1,0,1,4
9007,23,Gremio,11,5,56,451,94,13,2,0,1,6
9007,23,Mirassol,12,5,44,342,88,14,2,0,0,3
9006,23,Fortaleza,11,3,48,301,90,12,3,0,0,4
9006,23,Vitoria,11,3,52,429,90,15,6,0,0,2
9008,23,Palmeiras,21,10,60,540,92,10,1,0,5,7
9008,23,Internacional,7,3,40,316,88,16,2,0,0,1
9009,23,Corinthians,2,1,39,374,87,19,5,0,1,4
9009,23,Fluminense,15,4,61,575,93,16,1,0,0,5
9010,23,Bragantino,16,8,52,275,89,11,2,0,2,5
9010,23,Sport,14,7,48,308,89,9,3,0,0,7
9011,23,Santos,12,5,49,388,90,14,3,1,0,3
9011,23,Atletico-MG,16,4,56,393,93,12,2,0,1,7
9012,23,Juventude,3,1,35,207,90,15,2,0,2,6
9012,23,Flamengo,9,3,65,593,95,11,2,0,0,7
9013,23,Botafogo-RJ,11,2,52,476,84,14,1,0,0,4
9013,23,Sao Paulo,11,3,48,409,91,11,3,0,5,4
9014,23,Ceara,13,7,35,262,85,10,2,1,2,3
9014,23,Vasco,17,5,65,473,94,17,3,0,2,3
9015,23,Bahia,14,4,62,454,92,10,1,0,1,6
9015,23,Cruzeiro,9,3,38,245,86,12,3,0,1,5
8902,12,Botafogo-RJ,13,4,51,431,91,17,4,0,1,6
8902,12,Mirassol,12,5,49,358,87,10,1,0,1,5
9016,24,Fluminense,10,4,55,380,91,14,2,1,1,6
9016,24,Vitoria,12,4,45,334,91,19,2,1,3,10
9017,24,Ceara,14,3,38,219,84,10,3,0,0,3
9017,24,Bahia,15,6,62,505,91,10,1,0,3,6
9018,24,Botafogo-RJ,7,2,44,272,89,12,5,1,1,7
9018,24,Atletico-MG,10,2,56,567,94,8,2,0,0,4
9019,24,Palmeiras,24,9,71,427,93,10,1,0,2,11
9019,24,Fortaleza,11,6,29,180,82,12,1,0,3,2
9020,24,Mirassol,13,4,56,420,90,10,1,0,1,4
9020,24,Juventude,11,3,44,409,89,10,2,0,0,11
9022,24,Corinthians,19,3,55,291,92,8,1,0,1,7
9022,24,Sport,10,3,45,229,85,17,6,0,3,8
9023,24,Vasco,10,4,40,254,89,12,3,0,0,7
9023,24,Flamengo,12,3,60,485,91,15,2,0,0,3
9021,24,Internacional,16,6,51,372,89,17,4,1,0,8
9021,24,Gremio,4,3,49,250,88,8,2,1,2,1
9025,24,Sao Paulo,3,1,56,429,88,16,3,0,2,3
9025,24,Santos,18,4,44,311,87,16,3,0,1,4
9024,24,Cruzeiro,11,3,60,406,91,9,6,0,0,7
9024,24,Bragantino,8,6,40,228,90,18,6,0,1,4
8944,16,Botafogo-RJ,7,4,56,433,93,13,3,1,1,1
8944,16,Gremio,11,2,44,390,88,8,1,0,1,7
8943,16,Bahia,11,3,34,208,87,12,2,1,1,2
8943,16,Vasco,18,8,66,424,91,17,1,0,1,6
9026,25,Fortaleza,15,4,57,354,90,15,2,0,1,8
9026,25,Sport,11,8,43,350,90,12,3,0,3,5
9027,25,Cruzeiro,19,3,52,365,88,13,1,0,1,9
9027,25,Vasco,10,4,48,330,90,12,2,0,0,3
9028,25,Internacional,5,2,44,263,91,17,2,0,1,1
9028,25,Juventude,15,3,56,379,88,20,2,0,1,7
9029,25,Atletico-MG,10,5,32,195,86,11,4,1,0,4
9029,25,Mirassol,20,4,68,515,93,7,3,0,2,11
9030,25,Vitoria,10,5,47,357,88,10,4,0,2,5
9030,25,Gremio,9,5,53,384,93,5,1,0,1,1
9032,25,Fluminense,8,3,56,366,88,10,2,0,3,4
9032,25,Botafogo-RJ,9,1,44,429,91,11,2,0,1,2
9031,25,Bahia,12,5,54,352,88,13,5,0,1,1
9031,25,Palmeiras,10,4,46,276,86,17,2,0,3,4
9033,25,Santos,17,8,60,484,92,11,2,0,1,7
9033,25,Bragantino,11,2,40,290,83,10,3,0,0,5
9034,25,Flamengo,16,2,55,416,87,22,5,0,0,3
9034,25,Corinthians,15,4,45,376,86,14,3,0,0,5
9035,25,Sao Paulo,15,3,61,474,89,14,2,0,0,7
9035,25,Ceara,6,6,39,283,86,17,3,0,0,3
9036,26,Juventude,5,3,40,189,78,15,4,0,2,1
9036,26,Atletico-MG,9,1,60,585,92,12,3,0,2,5
9037,26,Vasco,9,3,63,460,93,15,1,0,0,3
9037,26,Palmeiras,11,6,37,359,93,7,1,0,2,1
9038,26,Mirassol,18,7,61,401,90,13,2,0,2,12
9038,26,Bragantino,12,3,39,238,87,17,3,0,0,5
9039,26,Sport,9,3,46,352,91,14,3,0,3,3
9039,26,Fluminense,10,5,55,387,87,13,1,0,2,1
9040,26,Internacional,10,4,58,477,87,20,4,0,4,3
9040,26,Corinthians,5,2,42,318,89,15,5,0,1,4
9042,26,Bahia,9,2,49,326,87,11,5,1,0,4
9042,26,Botafogo-RJ,17,8,51,371,91,19,4,0,2,6
9041,26,Gremio,4,1,38,263,86,17,3,0,0,0
9041,26,Santos,22,6,62,466,92,20,3,0,1,10
9043,26,Ceara,11,3,60,401,93,15,1,0,2,3
9043,26,Vitoria,4,2,40,223,86,12,4,0,3,6
9044,26,Sao Paulo,8,3,35,147,81,7,0,1,0,6
9044,26,Fortaleza,21,6,65,581,92,11,3,0,0,8
9045,26,Cruzeiro,10,5,38,300,84,18,6,1,1,2
9045,26,Flamengo,12,2,62,490,89,16,3,0,1,4
9046,27,Botafogo-RJ,12,3,59,433,90,11,2,0,0,4
9046,27,Internacional,15,6,41,264,91,13,2,0,0,6
9047,27,Fluminense,13,9,55,447,92,12,2,0,3,4
9047,27,Atletico-MG,4,1,56,537,94,14,4,0,2,2
9048,27,Bragantino,26,8,60,497,90,18,1,0,0,6
9048,27,Gremio,4,1,40,336,91,6,4,1,1,2
9049,27,Corinthians,10,3,36,213,81,16,3,0,0,2
9049,27,Mirassol,17,1,64,392,90,13,3,0,1,6
9050,27,Vitoria,7,3,31,158,83,14,2,2,2,0
9050,27,Vasco,14,7,69,535,94,11,1,0,1,5
9051,27,Sao Paulo,9,4,49,249,82,13,3,0,1,4
9051,27,Palmeiras,7,5,51,263,90,11,6,0,1,7
9053,27,Juventude,13,6,49,304,88,14,1,1,3,8
9053,27,Fortaleza,8,3,51,321,88,16,3,0,2,1
9052,27,Flamengo,6,3,48,408,92,13,3,2,0,1
9052,27,Bahia,11,4,52,430,91,21,3,0,1,3
9054,27,Santos,18,7,59,416,90,15,3,0,1,7
9054,27,Ceara,8,4,41,261,82,14,1,0,3,2
9055,27,Sport,17,6,38,261,89,13,2,0,1,3
9055,27,Cruzeiro,24,7,62,500,91,10,1,0,5,10
8914,13,Mirassol,11,6,47,282,86,12,3,0,3,5
8914,13,Fluminense,9,3,53,385,87,13,4,0,0,5
8924,14,Atletico-MG,10,4,46,343,90,11,4,0,2,5
8924,14,Sport,12,2,54,444,94,8,2,0,1,9
8903,12,Juventude,6,1,38,251,84,15,2,0,0,0
8903,12,Palmeiras,16,10,62,513,88,8,1,0,1,6
9056,28,Bragantino,8,2,40,280,86,12,4,0,1,3
9056,28,Palmeiras,24,12,60,460,92,8,2,0,2,8
9057,28,Flamengo,12,4,62,502,94,17,5,0,0,2
9057,28,Botafogo-RJ,15,4,38,300,92,17,5,0,0,3
9058,28,Internacional,6,2,45,362,90,18,2,0,1,2
9058,28,Mirassol,15,6,55,495,90,11,3,0,2,9
9059,28,Sport,17,7,58,379,89,14,4,0,1,5
9059,28,Ceara,15,8,42,263,88,16,2,0,2,4
9061,28,Vasco,5,3,45,313,91,9,2,2,2,2
9061,28,Fortaleza,23,8,55,363,90,15,5,1,2,10
9060,28,Corinthians,6,1,61,399,89,11,5,0,2,4
9060,28,Santos,19,5,39,273,87,21,3,0,2,5
9062,28,Atletico-MG,19,4,60,372,93,19,4,0,1,2
9062,28,Cruzeiro,3,2,40,238,88,12,4,1,2,1
9063,28,Gremio,18,7,38,311,88,11,1,0,0,5
9063,28,Sao Paulo,13,1,62,575,93,15,3,0,0,3
9064,28,Bahia,11,6,64,400,94,6,2,0,3,3
9064,28,Vitoria,7,5,36,168,77,17,6,1,0,4
